Date,Open,High,Low,Close,Adj Close,Volume
2006-08-07,8.736678,8.84397,8.621722,8.771165,7.040715,944746
2006-08-08,8.74051,9.058555,8.334331,8.98575,7.212965,2186683
2006-08-09,8.889953,9.142857,8.889953,9.04706,7.26218,3165329
2006-08-10,9.173512,9.955215,9.062387,9.928391,7.969634,13249070
2006-08-11,10.039516,10.568315,9.962878,10.234942,8.215707,11752623
2006-08-14,10.346066,10.507005,10.257933,10.39588,8.344892,5605112
2006-08-16,10.499341,11.223566,10.346066,10.794396,8.664786,19307824
2006-08-17,10.913184,10.947671,10.257933,10.27326,8.246464,4562908
2006-08-18,10.422703,10.499341,9.763621,10.035684,8.055758,2758739
2006-08-21,10.165968,10.165968,9.694647,9.744461,7.821992,1891892
2006-08-22,9.744461,10.10849,9.514549,9.587354,7.695879,3804193
2006-08-23,9.732966,9.732966,9.349778,9.391929,7.539008,1884116
2006-08-24,9.311459,9.388097,9.043228,9.188839,7.375987,3296152
2006-08-25,9.349778,9.495389,9.04706,9.326787,7.48672,8741526
2006-08-28,9.426416,9.72147,9.426416,9.587354,7.695879,4560115
2006-08-29,9.72147,9.809603,9.518381,9.560531,7.674349,2338136
2006-08-30,9.560531,9.641001,9.196503,9.345946,7.5021,1421522
2006-08-31,9.572027,9.572027,9.127529,9.192671,7.379064,919980
2006-09-01,8.828643,9.426416,8.828643,9.150521,7.345231,4669148
2006-09-04,9.334451,9.610346,9.234822,9.610346,7.714335,9360361
2006-09-05,9.618009,10.093162,9.618009,9.859418,7.914269,9096352
2006-09-06,9.974374,10.338402,9.809603,9.978206,8.009624,5794406
2006-09-07,10.058675,10.058675,9.579691,9.755957,7.831218,5003423
2006-09-08,9.579691,9.989701,9.579691,9.84409,7.901968,4383713
2006-09-11,9.694647,9.886241,9.430247,9.541372,7.658969,2601584
2006-09-12,9.349778,9.499221,9.200335,9.422584,7.563617,2109501
2006-09-13,9.288468,9.84409,9.288468,9.602682,7.708185,2809798
2006-09-14,9.671656,9.886241,9.625673,9.667824,7.760472,2227407
2006-09-15,9.805771,9.805771,9.430247,9.549036,7.665123,1856897
2006-09-18,9.541372,9.786612,9.541372,9.625673,7.726639,2142031
2006-09-19,9.709974,9.920728,9.522213,9.587354,7.695879,5243527
2006-09-20,9.426416,9.579691,9.388097,9.503053,7.628212,1136897
2006-09-21,9.717638,9.886241,9.591186,9.744461,7.821992,3158830
2006-09-22,9.694647,9.809603,9.487726,9.529876,7.649743,954597
2006-09-25,9.510717,9.656328,9.464734,9.529876,7.649743,2131279
2006-09-26,9.564363,9.656328,9.503053,9.625673,7.726639,1626840
2006-09-27,9.503053,9.886241,9.503053,9.752125,7.828142,3297835
2006-09-28,9.778948,9.886241,9.694647,9.824931,7.886586,1700185
2006-09-29,9.886241,10.319243,9.732966,10.319243,8.283379,9359487
2006-10-03,10.683271,10.836546,10.154472,10.242605,8.221856,5932393
2006-10-04,10.29242,10.756077,10.116153,10.710094,8.597116,9651394
2006-10-05,10.959166,11.246557,10.767572,11.246557,9.02774,5976001
2006-10-06,11.679559,11.786852,10.821219,10.894024,8.744759,10625799
2006-10-09,10.959166,11.399832,10.392048,11.288708,9.061577,6280760
2006-10-10,11.418991,11.633576,10.526164,10.794396,8.664786,4531343
2006-10-11,11.035804,11.189079,10.66028,10.759909,8.637104,5342395
2006-10-12,10.84421,11.070291,10.748413,10.970662,8.806279,2510153
2006-10-13,11.074122,11.227398,10.805891,10.874865,8.72938,2542801
2006-10-16,10.997485,11.112441,10.733085,10.767572,8.643254,2432685
2006-10-17,10.805891,10.874865,10.514669,10.564483,8.480232,1701516
2006-10-18,10.560651,10.652616,10.357562,10.491677,8.42179,1129968
2006-10-19,10.575979,11.112441,10.422703,10.675607,8.569434,4016426
2006-10-20,10.725422,11.112441,10.629625,10.759909,8.637104,2387420
2006-10-23,10.828882,10.828882,10.464854,10.503173,8.431018,1209603
2006-10-26,10.384385,10.644952,10.349898,10.39588,8.344892,890255
2006-10-27,10.346066,11.074122,10.346066,10.836546,8.69862,4688238
2006-10-30,10.805891,10.951502,10.277092,10.495509,8.424869,2319672
2006-10-31,10.610465,10.913184,10.269428,10.361393,8.317211,2619408
2006-11-01,10.45719,10.595138,10.208118,10.277092,8.24954,1337125
2006-11-02,10.342234,10.652616,10.338402,10.552987,8.471004,3436645
2006-11-03,10.572147,10.652616,10.392048,10.472518,8.406412,1667016
2006-11-06,10.564483,11.453478,10.372889,11.189079,8.981604,13483537
2006-11-07,11.338522,11.794515,11.219734,11.311699,9.080031,9470073
2006-11-08,11.327026,11.418991,10.503173,10.813555,8.680167,4064757
2006-11-09,10.928511,11.648904,10.894024,11.396,9.1477,6247461
2006-11-10,11.45731,11.832834,11.304035,11.637408,9.341484,9197778
2006-11-13,11.725541,11.955454,11.227398,11.396,9.1477,7046377
2006-11-14,11.572266,11.679559,11.054963,11.219734,9.00621,5955176
2006-11-15,11.407496,11.495629,11.097114,11.215902,9.003135,2153879
2006-11-16,11.323194,12.338642,11.265716,12.311819,9.882841,36197017
2006-11-17,12.599209,13.181655,11.622081,11.951622,9.593705,35148784
2006-11-20,11.909472,11.909472,11.158424,11.53778,9.261512,8379863
2006-11-21,11.652736,12.599209,11.648904,12.292659,9.867459,12936220
2006-11-22,12.449766,13.21231,12.143216,12.806131,10.27963,21354459
2006-11-23,12.882768,14.089809,12.882768,14.089809,11.310052,20086164
2006-11-24,14.791043,15.49994,14.637768,15.49994,12.441981,17781823
2006-11-27,16.273979,16.273979,14.725901,15.538259,12.472739,50517260
2006-11-28,15.250868,16.093882,14.844689,15.825649,12.703433,34535468
2006-11-29,16.017242,16.618849,16.017242,16.618849,13.340143,18023493
2006-11-30,17.450365,17.450365,16.162853,16.392767,13.158663,16847124
2006-12-01,16.622681,17.120825,16.285475,16.469404,13.220181,12315467
2006-12-04,16.76446,17.013531,16.4809,16.599688,13.324763,7267940
2006-12-05,17.013531,17.431206,16.055561,16.155191,12.967958,12854850
2006-12-06,16.706982,16.963717,15.365824,16.963717,13.616972,107316559
2006-12-07,17.626631,17.814392,17.162973,17.814392,14.299819,9817357
2006-12-08,18.316368,18.70722,17.373728,18.044306,14.484371,26910222
2006-12-11,18.239731,18.948629,17.243444,18.695724,15.007278,24381018
2006-12-12,18.776194,19.236019,17.760748,17.760748,14.256759,19198400
2006-12-13,17.243444,18.538618,16.875584,17.982996,14.435159,18357546
2006-12-14,18.163094,18.653574,18.086456,18.212908,14.619713,8505937
2006-12-15,18.393007,18.576937,17.626631,17.833553,14.315199,8918541
2006-12-18,17.894863,18.347025,17.572985,18.170757,14.585876,6298037
2006-12-19,17.933182,18.163094,17.262604,17.31625,13.899955,5310648
2006-12-20,17.262604,17.699436,16.526882,16.890911,13.558527,5845921
2006-12-21,16.944557,17.687941,16.634174,17.021194,13.66311,4883625
2006-12-22,17.228115,17.389055,16.936893,17.025026,13.666185,2445720
2006-12-26,17.09017,17.626631,17.013531,17.320082,13.903029,2769008
2006-12-27,17.473356,18.186085,17.243444,18.186085,14.59818,8369189
2006-12-28,18.324034,18.599928,17.576817,17.710934,14.216771,6414846
2006-12-29,17.779905,18.063465,17.396719,17.488684,14.038369,2783349
2007-01-02,17.626631,18.028978,17.511675,17.760748,14.256759,2117578
2007-01-03,17.933182,18.117111,17.285595,17.653454,14.170633,3567325
2007-01-04,17.737757,17.875704,17.373728,17.423542,13.986082,2319803
2007-01-05,17.48102,18.239731,17.320082,18.074961,14.508983,7521602
2007-01-08,18.009819,18.239731,17.718596,17.848881,14.327502,4855140
2007-01-09,17.871872,18.040474,17.013531,17.21279,13.816906,3736681
2007-01-10,17.247274,17.247274,16.791283,16.871752,13.54315,2315275
2007-01-11,17.074841,17.320082,16.400431,17.086336,13.715401,3425462
2007-01-12,17.243444,17.473356,17.013531,17.254938,13.850739,3908685
2007-01-15,17.427374,17.435038,17.051849,17.354568,13.930711,2626428
2007-01-16,17.473356,17.473356,16.860256,17.067177,13.700023,3569791
2007-01-17,17.15148,17.921686,17.021194,17.557657,14.093735,11042788
2007-01-18,17.626631,18.009819,16.864088,17.412046,13.976853,5851532
2007-01-19,18.21674,18.21674,16.553705,17.040354,13.678492,3674074
2007-01-22,17.185965,17.473356,16.936893,17.059513,13.693867,2311452
2007-01-23,16.940725,17.162973,16.710814,16.810442,13.493935,2611696
2007-01-24,17.235781,17.235781,16.791283,16.883247,13.552377,1968578
2007-01-25,17.044186,17.281761,16.864088,17.055681,13.690792,2096701
2007-01-29,17.166805,17.772243,16.706982,16.967548,13.620048,6221664
2007-01-31,16.936893,17.818226,16.936893,17.661118,14.176783,10135347
2007-02-01,17.894863,18.527122,17.320082,18.193748,14.604334,8834248
2007-02-02,18.308704,18.76853,18.239731,18.366182,14.742746,7616529
2007-02-05,18.393007,18.469645,17.818226,18.370014,14.745824,4352436
2007-02-06,18.442822,19.289665,18.393007,19.274338,15.471731,14398976
2007-02-07,19.312656,19.596216,18.320202,18.442822,14.804268,8341905
2007-02-08,18.393007,18.753202,17.963837,18.186085,14.59818,4926163
2007-02-09,18.239731,18.239731,17.277929,17.285595,13.875349,5371493
2007-02-12,17.243444,17.320082,15.568914,16.093882,12.918742,8446671
2007-02-13,15.722189,16.975212,15.342833,16.473236,13.223259,6941703
2007-02-14,16.515387,17.818226,16.055561,17.48102,14.032216,10903391
2007-02-15,17.733925,17.92935,17.247274,17.381392,13.952245,10359728
2007-02-19,17.626631,17.626631,16.814274,16.994371,13.641579,8571440
2007-02-20,17.021194,17.159142,16.634174,16.718477,13.420115,3068379
2007-02-21,16.706982,16.936893,16.553705,16.618849,13.340143,2598217
2007-02-22,16.706982,16.821938,16.580528,16.706982,13.410889,2927469
2007-02-23,16.630342,16.783619,16.178183,16.327625,13.106374,2327906
2007-02-26,16.477068,16.477068,15.902287,16.404263,13.16789,2296746
2007-02-27,16.469404,16.592026,16.208838,16.266315,13.057158,2654613
2007-02-28,15.557418,16.208838,15.020955,16.132198,12.949502,3861345
2007-03-01,16.247156,16.400431,15.49994,16.021074,12.860302,6210025
2007-03-02,16.132198,16.208838,15.714525,15.798826,12.681901,3795751
2007-03-05,15.404143,15.519099,14.714405,14.844689,11.916006,2732564
2007-03-06,15.17423,16.09005,13.549515,14.296731,11.476152,12093187
2007-03-07,14.714405,14.844689,13.959525,14.273739,11.457695,3083985
2007-03-08,14.407855,14.971141,13.909711,14.798706,11.879094,4124297
2007-03-09,14.997964,14.997964,14.56113,14.756556,11.845258,1754897
2007-03-12,14.791043,15.308346,14.725901,15.074602,12.100558,3008839
2007-03-13,15.17423,15.250868,14.944318,15.212549,12.211289,4964982
2007-03-14,14.814034,14.944318,14.369536,14.722069,11.817576,2271498
2007-03-15,14.997964,15.231708,14.810202,14.860016,11.928307,5778800
2007-03-16,15.151239,15.151239,14.649263,14.852353,11.922153,3711641
2007-03-19,15.227877,15.227877,14.890671,15.055442,12.085178,3092336
2007-03-20,15.109088,15.404143,14.656927,14.883008,11.946763,4813777
2007-03-21,15.013292,15.231708,14.791043,15.143575,12.155923,5334070
2007-03-22,15.442462,15.710693,15.250868,15.557418,12.676462,4484069
2007-03-23,15.726021,15.994252,15.365824,15.825649,12.895024,3949996
2007-03-26,16.013411,16.07472,15.714525,15.752844,12.835701,3037297
2007-03-28,15.634055,15.940606,15.220213,15.381152,12.532841,5016536
2007-03-29,15.626392,15.959765,15.365824,15.890791,12.948103,1284605
2007-03-30,15.99042,16.15136,15.940606,16.097713,13.116705,2019702
