,Date,Open,High,Low,Close,Adj Close,Volume
683,20201109,354.0,364.700012,351.850006,357.899994,357.51062,6278843
684,20201110,358.100006,361.75,353.200012,359.5,359.108887,3590100
685,20201111,359.200012,362.700012,354.049988,360.100006,359.708221,2869576
686,20201112,358.200012,369.5,358.0,365.549988,365.152283,4199715
687,20201113,364.0,371.649994,362.049988,368.600006,368.198975,2786714
688,20201114,369.799988,372.850006,369.5,371.25,370.846069,620753
689,20201117,372.0,401.950012,371.0,394.299988,393.870972,10496968
690,20201118,393.950012,404.700012,387.399994,394.5,394.070801,8656493
691,20201119,390.0,398.5,377.799988,385.75,385.330292,7731483
692,20201120,385.100006,402.0,385.0,388.299988,387.877533,5490838
693,20201123,390.100006,413.700012,383.100006,409.049988,408.60495,7318547
694,20201124,409.899994,415.5,404.200012,407.200012,406.756989,6167783
695,20201125,408.950012,411.5,393.0,399.25,398.815643,3448648
696,20201126,402.799988,411.549988,399.149994,401.950012,401.512695,5490958
697,20201127,401.0,407.850006,396.299988,398.399994,397.966522,6429153
698,20201201,398.0,423.950012,395.100006,421.899994,421.440948,7846125
699,20201202,420.549988,461.899994,419.350006,453.75,453.256317,16821595
700,20201203,453.75,457.0,443.25,447.549988,447.06308,6848649
701,20201204,449.0,456.549988,442.0,445.950012,445.464844,4131360
702,20201207,446.0,466.350006,445.950012,457.549988,457.052185,5371039
703,20201208,457.549988,462.299988,446.549988,451.899994,451.408325,3872952
704,20201209,454.0,458.100006,447.299988,449.100006,448.611389,2798049
705,20201210,448.0,452.25,438.049988,447.25,446.763397,3113868
706,20201211,447.25,451.799988,440.399994,449.799988,449.310608,2940168
707,20201214,451.0,462.0,447.0,455.149994,454.654816,3762369
708,20201215,455.5,464.049988,446.549988,462.450012,461.946869,4779869
709,20201216,462.5,467.549988,457.549988,463.25,462.746002,4088505
710,20201217,463.399994,473.950012,455.100006,459.299988,458.800293,4912523
711,20201218,461.0,464.200012,450.799988,455.149994,454.654816,2159692
712,20201221,454.0,460.75,409.649994,429.200012,428.733063,5350194
713,20201222,428.200012,461.549988,418.100006,458.799988,458.300812,8342699
714,20201223,458.0,466.799988,454.200012,463.600006,463.095612,4604130
715,20201224,465.0,479.850006,462.399994,473.649994,473.134674,7985151
716,20201228,473.0,507.0,472.700012,490.850006,490.315979,13714406
717,20201229,492.0,499.149994,484.700012,489.200012,488.667786,5849496
718,20201230,489.200012,496.0,478.399994,484.149994,483.62323,5419517
719,20201231,481.0,484.0,435.75,479.549988,479.028229,7575962
720,20210101,477.0,493.25,477.0,491.149994,490.615631,5035248
721,20210104,492.0,502.600006,486.649994,494.5,493.961975,4936582
722,20210105,492.0,501.399994,489.600006,494.399994,493.862122,3654033
723,20210106,496.0,500.649994,484.25,490.899994,490.365906,3295461
724,20210107,493.899994,523.950012,493.799988,518.099976,517.536255,9879731
725,20210108,523.0,526.599976,514.099976,518.0,517.436401,3702267
726,20210111,520.599976,524.599976,510.5,519.150024,518.585205,4148831
727,20210112,519.0,536.599976,517.099976,525.400024,524.82843,4878024
728,20210113,529.099976,540.200012,521.299988,536.049988,535.466797,4948731
729,20210114,534.950012,541.0,528.400024,532.099976,531.521057,3161306
730,20210115,534.700012,537.5,518.799988,527.299988,526.726257,3376852
731,20210118,528.0,529.099976,502.049988,507.850006,507.297455,5204588
732,20210119,512.299988,532.0,512.299988,530.099976,529.523254,4181185
733,20210120,532.150024,552.150024,531.0,546.75,546.155151,6681731
734,20210121,551.400024,552.950012,531.549988,536.900024,536.315918,4208383
